City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
85,Thompson,CA,55.74,-97.86,62.6,72,20,2.24,Clouds
86,Khairpur Nathan Shah,PK,27.09,67.73,105.17,34,74,7.72,Clouds
87,Varzea Grande,BR,-15.65,-56.13,69.8,52,0,2.24,Clear
88,Victoria,HK,22.29,114.16,80.01,94,40,6.93,Rain
89,Longyearbyen,SJ,78.22,15.64,44.6,100,90,2.24,Fog
90,Hamilton,US,39.18,-84.53,70.0,93,1,3.58,Clear
91,Saint-Georges,GD,12.06,-61.75,84.2,79,75,13.67,Clouds
92,Pinawa,CA,50.15,-95.88,55.49,67,0,3.15,Clear
93,Esperance,AU,-33.87,121.9,59.0,82,90,17.22,Clouds
94,Eureka,US,40.8,-124.16,60.01,93,1,3.71,Clear
95,San Pedro,PH,14.35,121.02,91.99,55,94,9.17,Clouds
96,Rio Gallegos,AR,-51.62,-69.22,39.2,81,100,8.05,Clouds
97,Guarapari,BR,-20.67,-40.5,66.99,93,40,2.24,Clouds
98,Fairbanks,US,64.84,-147.72,62.6,63,1,10.29,Clear
99,Hobart,AU,-42.88,147.33,51.01,43,40,19.46,Clouds
100,Cockburn Town,TC,21.46,-71.14,82.58,81,0,17.2,Rain
101,Puerto Ayora,EC,-0.74,-90.35,66.99,95,34,4.0,Clouds
102,Khatanga,RU,71.97,102.5,71.08,55,100,8.55,Clouds
103,Yangambi,CD,0.81,24.43,70.81,92,98,2.55,Clouds
104,Tete,MZ,-16.16,33.59,68.0,77,75,9.17,Clouds
105,Xingyi,CN,24.19,102.82,70.0,85,97,3.15,Rain
106,Nanortalik,GL,60.14,-45.24,46.0,93,81,8.75,Clouds
107,Terrace Bay,CA,48.78,-87.1,54.91,73,58,8.7,Clouds
108,Katsuura,JP,35.13,140.3,91.99,52,20,8.05,Clouds
109,Kedrovoye,RU,57.16,60.57,69.8,73,40,2.24,Rain
110,Jaroslaw,PL,50.02,22.68,61.0,87,100,4.7,Clouds
111,Palmer,US,42.16,-72.33,79.0,94,75,6.93,Clouds
112,Clyde River,CA,70.47,-68.59,46.4,93,90,5.82,Clouds
113,Pevek,RU,69.7,170.31,38.23,92,100,1.99,Clouds
114,Iroquois Falls,CA,48.77,-80.68,50.0,87,75,5.82,Clouds
115,Hilo,US,19.73,-155.09,80.6,57,1,3.36,Clear
116,Saint Anthony,US,45.02,-93.22,61.0,82,1,3.13,Clear
117,Georgetown,MY,5.41,100.34,89.6,70,20,11.41,Clouds
118,Haines Junction,CA,60.75,-137.51,52.92,69,7,5.95,Clear
119,Aranos,NA,-24.13,19.12,49.59,45,0,11.39,Clear
120,Stulovo,RU,58.72,50.14,57.09,85,76,3.56,Clouds
121,Sompeta,IN,18.93,84.6,92.44,59,100,3.94,Clouds
122,Iqaluit,CA,63.75,-68.51,53.6,76,75,11.41,Clouds
123,Comodoro Rivadavia,AR,-45.87,-67.5,53.6,59,100,2.24,Clouds
124,Matay,EG,28.42,30.78,79.92,63,0,5.57,Clear
125,High Level,CA,58.52,-117.14,71.6,88,40,4.7,Clouds
126,Van Buren,US,35.44,-94.35,77.0,65,75,3.36,Clouds
127,Alofi,NU,-19.06,-169.92,75.2,88,100,5.82,Clouds
128,Suntar,RU,62.14,117.63,79.36,34,0,6.44,Clear
129,Manzil Salim,TN,35.86,8.48,71.6,24,0,4.7,Clear
130,Tuktoyaktuk,CA,69.45,-133.04,48.2,100,90,3.36,Drizzle
131,Mezen,RU,65.85,44.24,52.99,83,97,8.41,Clouds
132,Maceio,BR,-9.67,-35.74,68.0,100,75,2.24,Clouds
133,Qaanaaq,GL,77.48,-69.36,36.05,88,100,8.03,Clouds
134,Bredasdorp,ZA,-34.53,20.04,46.4,100,0,5.82,Clear
135,Abaza,RU,52.66,90.09,65.98,65,98,5.88,Clouds
136,Lashio,MM,22.93,97.75,85.62,68,99,0.25,Rain
137,Sinnamary,GF,5.38,-52.95,76.77,85,95,7.61,Clouds
138,Yelahanka,IN,13.11,77.6,80.01,83,75,17.22,Clouds
139,Baker City,US,44.77,-117.83,71.6,37,1,11.41,Clear
140,Honiara,SB,-9.43,159.95,87.8,70,20,8.05,Clouds
141,Flin Flon,CA,54.77,-101.86,60.49,62,0,5.91,Clear
142,Vaitape,PF,-16.52,-151.75,79.52,74,47,8.72,Clouds
143,Wenling,CN,28.37,121.36,86.0,46,16,16.6,Rain
144,Neuquen,AR,-38.95,-68.06,48.2,66,82,6.93,Clouds
145,Alice Springs,AU,-23.7,133.88,80.6,10,0,5.82,Clear
146,Opportunity,US,47.65,-117.24,80.6,22,1,4.36,Clear
147,Berbera,SO,10.44,45.01,89.53,41,34,37.0,Clouds
148,Camacha,PT,33.08,-16.33,68.0,72,40,13.87,Clouds
149,San Vicente,AR,-26.62,-54.13,56.77,88,0,3.02,Clear
150,Tagbac,PH,7.09,125.16,86.0,70,90,9.17,Rain
151,Bumba,CD,2.18,22.47,71.62,94,87,4.21,Rain
152,Tabou,CI,4.42,-7.35,71.51,80,95,2.42,Clouds
153,Bengkulu,ID,-3.8,102.27,83.64,71,42,6.71,Clouds
154,Leh,IN,34.17,77.58,65.91,27,0,5.95,Clear
155,Grindavik,IS,63.84,-22.43,46.4,93,90,6.93,Clouds
156,Beringovskiy,RU,63.05,179.32,48.52,69,98,10.54,Clouds
157,Verkhoyansk,RU,67.54,133.38,69.71,39,100,7.09,Clouds
158,Huanren,CN,41.26,125.37,83.1,62,65,9.69,Clouds
159,Saint-Philippe,RE,-21.36,55.77,69.8,64,90,19.46,Clouds
160,Sao Joao Da Barra,BR,-21.64,-41.05,63.66,76,0,7.05,Clear
161,Bethel,US,41.37,-73.41,78.8,83,1,8.05,Clear
