City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
495,Andenes,NO,69.31,16.12,53.6,93,0,3.36
496,Hojai,IN,26.0,92.87,84.94,83,0,0.51
497,Tanggu,CN,39.02,117.65,87.8,79,75,4.47
498,Ishigaki,JP,24.34,124.16,78.8,100,75,36.91
499,Yago,MX,21.83,-105.07,78.8,83,90,6.93
500,Victoria Point,AU,-27.58,153.3,71.01,70,24,1.99
501,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,73.15,93,43,2.15
502,Zaterechnyy,RU,44.79,45.21,64.26,87,83,8.14
503,Barpathar,IN,26.3,93.87,86.58,77,0,0.63
504,Chinhoyi,ZW,-17.37,30.2,46.54,90,0,4.54
505,Koslan,RU,63.46,48.9,50.47,95,100,8.08
506,Qui Nhon,VN,13.77,109.23,88.77,60,83,8.86
507,Zhigansk,RU,66.77,123.37,64.58,47,89,15.48
508,Hohhot,CN,40.81,111.65,69.8,64,0,4.47
509,Kuryk,KZ,43.2,51.65,74.75,67,21,3.89
510,Kendari,ID,-3.94,122.5,84.54,64,81,1.5
511,Qixia,CN,37.3,120.83,91.99,71,83,1.01
512,Visnes,NO,59.36,5.22,55.99,82,90,13.87
513,Itarema,BR,-2.92,-39.92,78.04,82,90,11.39
514,Maneadero,MX,31.72,-116.57,69.01,87,18,1.99
515,Melfi,IT,41.0,15.65,77.0,56,5,4.7
516,Pucallpa,PE,-8.38,-74.55,74.39,65,3,1.95
517,Murgab,TM,37.5,61.97,73.4,46,0,4.65
518,Palmas De Monte Alto,BR,-14.27,-43.16,66.61,69,28,12.12
519,Alugan,PH,12.22,125.48,84.69,75,100,5.3
520,Krutinka,RU,56.01,71.51,70.77,71,0,3.98
521,Cap Malheureux,MU,-19.98,57.61,66.99,70,29,1.99
522,Mayor Pablo Lagerenza,PY,-19.93,-60.77,75.34,39,0,5.82
523,Kharp,RU,66.8,65.81,60.93,91,100,8.66
524,Corrente,BR,-3.74,-43.34,75.76,72,53,2.55
525,Whitehorse,CA,60.72,-135.05,64.99,63,75,6.93
526,Antsohihy,MG,-14.88,47.99,70.21,58,0,13.2
527,Moose Factory,CA,51.26,-80.61,50.0,93,1,4.7
528,Manakara,MG,-22.13,48.02,64.8,81,98,5.32
529,Kyabe,TD,9.45,18.94,70.59,97,100,3.74
530,Labelle,US,26.76,-81.44,82.99,88,75,5.26
531,Gao,ML,16.64,1.64,79.72,68,100,8.01
532,Rodeo,US,38.03,-122.27,89.6,22,1,11.41
533,Rio Gallegos,AR,-51.62,-69.22,37.4,74,100,3.36
534,San Carlos De Bariloche,AR,-41.15,-71.31,42.8,75,100,2.24
535,Port Hawkesbury,CA,45.62,-61.35,71.6,60,1,12.75
536,Katobu,ID,-4.94,122.53,85.03,61,50,5.01
537,Dubti,ET,11.74,41.09,81.61,69,74,5.55
538,Terre-De-Bas,GP,15.85,-61.64,82.4,78,75,5.82
539,Glendive,US,47.11,-104.71,78.8,34,1,17.22
540,Tual,ID,-5.67,132.75,77.49,82,76,18.61
541,Zabol,AF,32.25,67.25,68.05,21,0,5.37
542,San Quintin,MX,30.48,-115.95,71.89,75,16,6.17
543,Samarai,PG,-10.62,150.67,77.56,86,90,14.94
544,Zhelyabovka,UA,45.4,34.76,62.91,63,1,6.17
545,Maceio,BR,-9.67,-35.74,69.8,100,75,4.7
546,College,US,64.86,-147.8,68.0,59,75,11.41
547,Bodaybo,RU,57.85,114.19,69.6,54,0,8.19
548,Bud,US,39.45,-86.18,73.0,77,16,4.12
549,Zheleznodorozhnyy,RU,55.75,38.0,57.0,93,48,3.76
550,Camacha,PT,33.08,-16.33,69.8,73,40,12.75
551,Peterhead,GB,57.51,-1.8,50.0,93,73,2.24
552,Nador,MA,35.17,-2.93,89.6,25,0,16.11
553,Ayios Nikolaos,GR,38.42,23.65,80.01,60,0,5.82
554,Ukiah,US,39.15,-123.21,87.8,25,1,11.41
555,Clovis,US,36.83,-119.7,100.4,12,1,8.05
556,Carberry,CA,49.87,-99.36,71.6,53,20,4.7
557,Surt,LY,31.21,16.59,75.7,82,0,1.79
558,Mozarlandia,BR,-14.74,-50.57,70.68,40,0,7.25
559,Cape Coast,GH,5.11,-1.25,72.46,85,100,10.38
560,Olenino,RU,56.21,33.49,47.79,95,16,4.76
561,Nelson Bay,AU,-32.72,152.15,64.99,67,100,5.82
562,Kenai,US,60.55,-151.26,59.0,87,90,9.17
563,Perth,AU,-31.93,115.83,57.0,81,75,9.17
564,Shelburne,CA,44.08,-80.2,64.4,100,90,10.29
565,Corinto,GR,37.94,22.96,78.01,43,0,1.01
566,La Ronge,CA,55.1,-105.28,78.8,47,20,4.7
567,Andilamena,MG,-17.02,48.58,54.05,84,97,13.94
568,Maridi,SS,4.92,29.47,67.14,94,100,2.62
569,Warrnambool,AU,-38.38,142.48,52.0,88,97,10.0
570,Presidente Olegario,BR,-18.42,-46.42,54.0,51,0,5.53
571,Brikama,GM,13.27,-16.65,80.6,94,75,8.32
572,Palmer,US,42.16,-72.33,79.0,88,90,8.05
573,Ixtapa,MX,20.7,-105.2,87.8,74,75,10.29
574,Primo Tapia,MX,32.22,-116.92,75.2,69,5,5.82
575,Shache,CN,38.42,77.24,81.68,15,0,1.74
576,Springfield,US,37.22,-93.3,78.8,57,1,5.82
577,Hualmay,PE,-11.1,-77.61,59.2,84,22,9.95
578,Mareeba,AU,-17.0,145.43,75.0,67,72,5.01
579,Tateyama,JP,34.98,139.87,84.99,74,20,5.82
580,Norwich,GB,52.63,1.3,60.01,77,100,4.7
581,Huescar,ES,37.81,-2.54,73.99,24,3,1.99
582,Klaksvik,FO,62.23,-6.59,50.0,93,100,10.29
583,Yambio,SS,4.57,28.4,66.76,96,97,2.15
584,Hjelset,NO,62.78,7.48,51.8,93,90,10.29
585,Tarakan,ID,3.3,117.63,81.37,76,0,4.36
586,Shubarkuduk,KZ,49.14,56.49,74.8,49,0,6.82
587,Kapuskasing,CA,49.42,-82.43,57.2,67,75,8.05
588,Black Forest,US,39.01,-104.7,70.0,56,1,6.93
589,Vientiane,LA,17.97,102.6,80.6,100,75,4.7
590,Byron Bay,AU,-28.65,153.62,69.01,68,75,4.7
591,Curico,CL,-34.98,-71.23,52.0,100,90,0.83
592,Bowen,AU,-20.02,148.23,75.99,60,38,18.34
593,Polunochnoye,RU,60.87,60.42,59.13,75,100,8.55
594,Yenotayevka,RU,47.25,47.03,72.34,45,100,3.11
595,Nanzhou,CN,29.36,112.4,87.96,76,38,10.0
596,Ola,RU,59.58,151.28,63.46,56,11,4.52
597,Saquarema,BR,-22.92,-42.51,69.8,64,16,3.36
598,Sept-Iles,CA,50.2,-66.38,66.99,77,75,8.05
599,Dustlik,UZ,40.52,68.04,78.06,28,0,2.64
600,Nampa,US,43.54,-116.56,98.01,15,1,6.93
601,Katherine,AU,-14.47,132.27,80.6,44,100,8.05
602,Batesville,US,35.77,-91.64,78.8,61,1,4.03
603,Yar-Sale,RU,66.83,70.83,62.71,83,100,16.58
604,Yevsino,RU,54.42,83.32,63.97,84,0,12.3
605,Maanshan,CN,31.7,118.5,96.01,66,92,6.71
606,Ailigandi,PA,9.23,-78.02,81.64,86,99,4.41
607,Kloulklubed,PW,7.04,134.26,82.4,83,75,4.7
608,Sal Rei,CV,16.18,-22.92,78.8,88,40,11.41
609,Prainha,BR,-1.8,-53.48,79.65,64,68,2.1
610,Labuhan,ID,-6.88,112.21,80.1,68,21,5.91
611,Wakkanai,JP,45.41,141.67,77.0,69,75,10.29
612,Inuvik,CA,68.35,-133.72,55.4,82,90,4.7
613,Wajir,KE,1.75,40.06,69.69,83,71,8.14
614,San Juan,AR,-31.54,-68.54,54.72,40,0,5.64
615,Tandil,AR,-37.32,-59.13,52.0,63,100,1.99
616,Ohara,JP,35.25,140.38,84.99,74,20,5.82
617,Ajdabiya,LY,30.76,20.23,74.44,91,0,6.35
618,Pevek,RU,69.7,170.31,38.19,91,100,2.39
619,Shakawe,BW,-18.37,21.85,48.97,49,0,4.45
620,Novo Selo,MK,41.41,22.88,68.0,81,0,3.91
621,Emerald,AU,-23.53,148.17,70.0,37,75,6.93
622,Beeville,US,28.4,-97.75,77.0,88,1,9.33
623,Erenhot,CN,43.65,111.98,71.62,48,0,15.41
624,Beipiao,CN,41.79,120.78,92.16,26,0,10.07
625,Sioux Lookout,CA,50.1,-91.92,62.6,55,20,2.24
626,Sao Felix Do Xingu,BR,-6.64,-51.99,74.16,52,2,1.95
627,Galeras,CO,9.16,-75.05,79.65,87,88,7.0
628,Estevan,CA,49.13,-102.98,71.6,49,1,9.17
629,Port Antonio,JM,18.18,-76.46,82.4,88,40,9.17
630,Kang,BW,-23.68,22.79,49.82,48,0,8.46
631,Morant Bay,JM,17.88,-76.41,82.4,88,40,9.17
632,Antofagasta,CL,-23.65,-70.4,57.2,71,75,9.17
633,Velingara,SN,13.15,-14.12,75.97,94,100,5.86
634,Sangar,RU,63.92,127.47,71.71,42,73,3.42
635,Awjilah,LY,29.11,21.29,75.27,73,0,7.87
636,Harare,ZW,-17.83,31.05,45.41,85,0,4.21
637,Ilhabela,BR,-23.78,-45.36,66.25,79,12,8.19
638,Sharya,RU,58.37,45.51,48.06,92,53,1.34
639,Ballina,AU,-28.87,153.57,69.01,68,75,4.7
640,Zhezkazgan,KZ,47.8,67.71,77.72,40,0,16.11
641,Nara,JP,34.69,135.8,93.0,66,75,4.7
642,Jiayuguan,CN,39.82,98.3,76.23,18,0,14.97
643,Shingu,JP,33.73,135.98,82.4,83,40,6.93
644,Yurimaguas,PE,-5.9,-76.08,74.03,71,11,0.65
645,Dabrowa Gornicza,PL,50.32,19.24,69.01,99,99,2.46
646,Tucumcari,US,35.17,-103.72,75.2,53,90,20.8
647,Yinchuan,CN,38.47,106.27,85.91,14,14,9.4
648,Adolfo Lopez Mateos,MX,28.47,-107.3,64.99,76,93,4.0
649,Okhotsk,RU,59.38,143.3,66.25,54,0,6.04
