City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
206,Riohacha,CO,86.0,Thunderstorm,11.54,-72.91,Hotel Taroa
207,Port Moresby,PG,82.4,Clouds,-9.44,147.18,Lamana Hotel
208,Itarema,BR,78.04,Clouds,-2.92,-39.92,Windvillage
211,Diplo,PK,87.12,Clouds,24.47,69.58,Students Hostel
212,Pasco,US,82.0,Clouds,28.29,-82.42,Cypress Creek Preserve
214,Ladario,BR,75.6,Clear,-19.0,-57.6,Hotel Fazenda 4 cantos
216,Dingle,PH,84.31,Rain,11.0,122.67,Camp Pasica
217,Minab,IR,89.6,Haze,27.15,57.08,فروشگاه موبایل ترکمانی
221,Luganville,VU,78.8,Clouds,-15.53,167.17,The Espiritu Hotel
222,Jasper,US,75.2,Clear,37.2,-94.35,Guest House Motel
223,Gannan,CN,76.5,Clouds,47.91,123.5,Gannan Supply and Marketing Cooperatives Hostel
228,Spirit River,CA,80.6,Haze,55.78,-118.84,Motel 49
229,Kahului,US,84.2,Clouds,20.89,-156.47,Maui Seaside Hotel
233,Faanui,PF,78.62,Clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
234,Terrell,US,89.6,Clear,32.74,-96.28,Holiday Inn Express & Suites Terrell
237,Meadow Lake,US,82.0,Clouds,34.8,-106.54,JKL Inc. R.V Park and Storage
241,Katsuura,JP,89.01,Clouds,35.13,140.3,Katsuura Hotel Mikazuki
242,Karratha,AU,75.4,Clouds,-20.74,116.85,ibis Styles Karratha
243,Hasaki,JP,89.01,Clouds,35.73,140.83,Inubosaki Kanko Hotel
249,Atuona,PF,78.96,Clouds,-9.8,-139.03,Villa Enata
251,Matamoros,MX,89.6,Clouds,25.53,-103.25,Recreativo Sabdy Briseidy
253,Akyab,MM,85.05,Clouds,20.15,92.9,Hotel Memory
256,Korla,CN,85.64,Clouds,41.76,86.15,Gulisitan Hotel
258,Malia,GR,82.0,Clear,35.28,25.47,Kalypso Hotel
259,Yatou,CN,82.11,Rain,37.15,122.38,GreenTree Hotel Rongcheng Bus Station
265,Sagaing,MM,78.8,Thunderstorm,21.88,95.98,Makara Cruise
268,Kavaratti,IN,82.44,Rain,10.57,72.64,Bismillah Hotel And Lodging
270,Westport,US,81.0,Clear,41.14,-73.36,The Westport Inn
272,Jalu,LY,76.64,Clear,29.03,21.55,Jalu Hotel
275,Salalah,OM,80.6,Clouds,17.02,54.09,HAMDAN PLAZA HOTEL
277,Naze,JP,87.8,Clouds,28.37,129.48,奄美ポートタワーホテル
278,Dongsheng,CN,75.31,Clear,39.82,109.98,Crowne Plaza Ordos
283,Pontianak,ID,78.12,Clouds,-0.03,109.33,Aston Pontianak Hotel & Convention Center
285,Alugan,PH,84.69,Rain,12.22,125.48,BEMBEM RAIN FEED RESORT
288,Pringsewu,ID,82.99,Clouds,-5.36,104.97,Urban Style by Front One
289,Najran,SA,82.4,Clouds,17.49,44.13,محمد هادي ال فطيح
290,La Ronge,CA,78.8,Clouds,55.1,-105.28,Northland Motor Hotel
301,Mawlaik,MM,88.5,Clouds,23.63,94.42,AKZ Guest House
303,Jiexiu,CN,88.54,Clouds,37.02,111.91,IU Hotel Jinzhong Yuhua Road
309,Itoman,JP,89.6,Clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
317,Khunti,IN,78.8,Haze,23.08,85.28,SHAKTI LODGE
321,Kulhudhuffushi,MV,82.8,Rain,6.62,73.07,Haajy Guest House 1
323,Quesnel,CA,78.8,Clouds,53.0,-122.5,Ramada Limited Quesnel
